NAME,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,AVERAGE,WEIGHTED_AVERAGE
"LERWICK, UK",0,2,3,1,1,2,2,0,2,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3636363636363635,1.4483516483516483
"WICK, UK",0,1,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18181818181818182,0.19977362761743067
"DYCE, UK",0,0,0,1,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.23097112860892388
"INCHKEITH, UK",0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"TYNEMOUTH, UK",1,2,2,0,1,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7272727272727273,0.725268669054836
"HOLYHEAD, UK",0,1,2,1,2,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.2727272727272727,1.3743360357841767
"CRANWELL, UK",1,6,5,5,0,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8333333333333335,4.462892119357307
"SPURN HEAD POINT, UK",0,3,1,3,3,2,2,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7272727272727273,1.8247365501941208
"GORLESTON, UK",1,3,1,3,2,1,1,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.272727272727273,2.3271739130434783
"ST. ANNES HEAD, UK",0,0,0,1,1,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5454545454545454,0.5942275042444821
"PURLEY OAKS, UK",1,3,1,1,1,2,2,7,2,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3636363636363638,2.453999453999454
"LYMPNE, UK",1,3,3,1,3,6,3,4,2,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.8181818181818183,2.9456491129259366
"SCILLY ST.MARYS, UK",0,2,1,0,0,2,1,1,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090909090909091,1.0019358407079646
"PORT PENDENNIS, UK",0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"PORTLAND BILL LH, UK",0,0,1,0,,0,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2222222222222222,0.3046495489243581
"GUERNSEY, GK",0,1,0,3,2,2,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4545454545454546,1.5473479589003054
"VALENTIA OBSERVATORY, EI",1,1,0,0,0,2,0,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8181818181818182,0.7983425414364641
"CONNAUGHT, EI",0,0,1,1,0,4,1,0,1,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9090909090909091,0.9449489216799092
"MALIN HEAD, EI",4,1,0,5,2,1,2,0,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5454545454545454,1.4039789997236807
BUOY 52079 ARGOS 3781,0,0,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"STORNOWAY, UK",,0,0,0,1,1,0,3,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.113713405238829
"CARDINGTON, UK",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
"MAGDEBURG, GM",,,0,,0,,9,3,13,4,12,11,14,,6,,,,,,,,,14,14,6,17,11,7,7,7,9,15,16,19,12,13,19,23,24,19,11.571428571428571,12.459256913658434
"TEMPELHOF, GM",,,19,11,17,14,15,17,20,8,12,9,13,,,,,14,13,12,18,20,19,18,26,19,18,14,19,25,17,21,24,25,19,20,17,23,27,26,21,18.0,18.027146464646464
