NAME,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,AVERAGE,WEIGHTED_AVERAGE
"JAN MAYEN NOR NAVY, NO",0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.6,0.5991237677984665
"LONGYEAR, SV",2.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,1.0,2.0,1.1,1.0992868897421832
"ANDOYA, NO",4.0,1.0,9.0,2.0,7.0,1.0,3.0,2.0,4.0,4.0,3.7,3.701013976431899
"AKSELOYA, SV",0,1,,0,,0,,0,0,0,0.14285714285714285,0.1
"BARDUFOSS, NO",6.0,2.0,0.0,1.0,3.0,2.0,0.0,2.0,2.0,1.0,1.9,1.898082191780822
"TROMSO, NO",4.0,0.0,4.0,1.0,6.0,3.0,2.0,3.0,0.0,5.0,2.8,2.8007127192982457
"BJORNOYA ISLAND, NO",1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6,0.6000547495209417
"TORSVAG FYR, NO",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4065612185120094
"LYNGEN GJERDVASSBU, NO",0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.3,0.3649851632047478
"NORDREISA OYENG, NO",0,0,,,0,,0,0,0,0,0.0,0.0
"ROGNSUNDET, NO",0,0,,0,,,0,,,,0.0,0.0
"SORKJOSEN, NO",0,,,,0,0,,,2,3,1.0,1.736046511627907
"KAUTOKEINO II, NO",1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.4,0.43968739381583416
"ALTA, NO",1.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,2.0,1.0,1.0,1.071301247771836
"HAMMERFEST RADIO, NO",0,1,1,1,1,1,1,0,,,0.75,0.8137745286648711
"FRUHOLMEN FYR, NO",2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4012091233855455
"BANAK, NO",1.0,3.0,0.0,1.0,1.0,6.0,5.0,1.0,5.0,4.0,2.7,2.8653958944281523
"BRENNELV, NO",2,3,,,,,,,,,2.5,2.5123367198838897
"HOPEN ISLAND, NO",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.4,0.3996715028743498
"KISTRAND III, NO",0,0,0,1,2,0,0,,,,0.42857142857142855,0.5572309801233721
"HELNES FYR, NO",0,0,,,,,0,0,,,0.0,0.0
"LEVAJOK EVJEN, NO",1,0,0,,,,,,,,0.3333333333333333,0.5027027027027027
"MEHAMN, NO",0,,,,0,0,0,0,0,0,0.0,0.0
"RUSTEFJELBMA, NO",0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.5,0.5572755417956656
"SLETTNES FYR, NO",0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.3987931980252331
"BERLEVAG, NO",0,,,,0,0,2,0,1,0,0.42857142857142855,0.5737996443390634
"VADSO, NO",0,,,,0,1,1,1,2,1,0.8571428571428571,1.1281489594742606
"HOYBUKTMOEN, NO",2.0,1.0,3.0,2.0,3.0,0.0,1.0,2.0,8.0,5.0,2.7,2.7046472564389696
"MAKKAUR FYR, NO",0,0,,,0,0,0,,0,0,0.0,0.0
"VARDO, NO",1.0,0.0,2.0,1.0,0.0,3.0,1.0,2.0,1.0,1.0,1.2,1.1990690032858708
"SKLINNA FYR, NO",2.0,1.0,0.0,4.0,4.0,1.0,3.0,0.0,1.0,1.0,1.7,1.7000821692686936
"LEKA, NO",1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.6,0.6338818249813014
"ROEST III, NO",1.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.7,0.6939284724147491
"SKALVAER, NO",0,,,,,,,,,,0.0,0.0
"BRONNOY, NO",0,0,,,0,3,1,1,2,6,1.625,2.397883597883598
"MYKEN, NO",2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7990305741983594
"STOKKA, NO",0,,,0,0,1,2,0,2,3,1.0,1.483068783068783
"SOLVAER III, NO",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.21641297154202516
"GLAPEN LIGHTHOUSE, NO",0,0,1,0,0,1,,,,,0.3333333333333333,0.13636363636363635
"MAJAVATN III, NO",0,,,,0,0,,,0,0,0.0,0.0
"LEKNES, NO",0,,,,0,1,1,1,0,1,0.5714285714285714,0.7498601007274762
