NAME,2020,2021,2022,2023,2024,2025,AVERAGE,WEIGHTED_AVERAGE
"JAN MAYEN NOR NAVY, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SORSTOKKEN, NO",1,1,1,1,4,,1.6,1.6097560975609757
"VERLEGENHUKEN, NO",0,0,,0,0,0,0.0,0.0
"HORNSUND, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"EDGEOYA, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"NY ALESUND, SV",0.0,0.0,0.0,0.0,1.0,1.0,0.3333333333333333,0.36024844720496896
"LONGYEAR, SV",0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.17812343201204214
"KARL XII OYA, SV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANDOYA, NO",0.0,1.0,3.0,1.0,2.0,0.0,1.1666666666666667,1.2704465629703965
"KVITOYA, SV",0,0,,0,0,0,0.0,0.0
"HEKKINGEN FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KONGSOYA, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"AKSELOYA, SV",0,0,,0,0,0,0.0,0.0
"SORKAPPOYA, SV",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BARDUFOSS, NO",3.0,1.0,0.0,1.0,6.0,0.0,1.8333333333333333,1.9859649122807017
"PYRAMIDEN, NO",0,0,0,0,,,0.0,0.0
"TROMSO, NO",6.0,3.0,1.0,2.0,5.0,0.0,2.8333333333333335,3.1657113079729027
"TROMSO HOLT, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BJORNOYA ISLAND, NO",0.0,2.0,0.0,0.0,1.0,1.0,0.6666666666666666,0.877521613832853
"KISTEFJELL, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"TORSVAG FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"LYNGEN GJERDVASSBU, NO",0,0,,0,0,0,0.0,0.0
"NORDNESFJELLET, NO",0,0,0,,,,0.0,0.0
"SKIBOTN 2, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HASVIK SLUSKFJELLET, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ROGNSUNDET, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"HASVIK, NO",0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5423901940755873
"NORDSTRAUM I KVAENANGEN, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SORKJOSEN, NO",0.0,0.0,1.0,0.0,1.0,0.0,0.3333333333333333,0.3710099424385139
"KAUTOKEINO II, NO",0.0,0.0,0.0,0.0,2.0,0.0,0.3333333333333333,0.8244994110718492
"ALTA, NO",2.0,2.0,2.0,1.0,5.0,0.0,2.0,2.17059708981435
"HAMMERFEST AIRPORT, NO",1.0,5.0,4.0,1.0,10.0,1.0,3.6666666666666665,3.8790767686904166
"FRUHOLMEN FYR, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"SUOLOVUOPMI LULIT, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BANAK, NO",1,0,4,1,2,,1.6,1.59878587196468
"HOPEN ISLAND, NO",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"KARASJOK, NO",3.0,1.0,0.0,0.0,1.0,0.0,0.8333333333333334,1.3477600607441154
"HONNINGSVAG VALAN, NO",1.0,1.0,0.0,4.0,2.0,0.0,1.3333333333333333,1.4724245577523414
"MEHAMN, NO",0.0,0.0,0.0,0.0,1.0,0.0,0.16666666666666666,0.18397932816537468
